Speed,HPR,HPA,HPA_cont,Vtip,Xflat,HPA_EMRAX_cont_d,HPA_EMRAX_cont,HPA_Nacelle_cont_d,HPA_Nacelle_cont,HPA_EMRAX_30_d,HPA_Nacelle_30_d,HPI,HPPr
0,608.1550595,880,731.03,574,0,92.01103356,585.0751587,122.8749405,731.03,238.2798232,271.8449405,523.2305136,74.47895983
5,593.2648493,880,731.03,574,26.78847908,106.0696661,585.0751587,137.7651507,731.03,252.3384557,286.7351507,507.2075111,75.61655303
10,578.5385913,880,731.03,574,26.75748895,119.8894085,585.0751587,152.4914087,731.03,266.1581982,301.4614087,492.2394122,75.86330701
15,555.3591949,880,731.03,574,26.71991367,141.4186114,585.0751587,175.6708051,731.03,287.6874011,324.6408051,468.6500646,76.28135407
20,528.4341909,880,731.03,574,26.68479535,168.1807057,585.0751587,202.5958091,731.03,314.4494954,351.5658091,440.771513,77.22517102
25,500.1031194,880,731.03,574,26.66285211,197.1728562,585.0751587,230.9268806,731.03,343.4416458,379.8968806,410.9580619,78.68857989
30,472.1340375,880,731.03,574,26.66634008,224.9671442,585.0751587,258.8959625,731.03,371.2359339,407.8659625,381.2508163,80.40683814
35,447.8222948,880,731.03,574,26.70963852,248.4952428,585.0751587,283.2077052,731.03,394.7640324,432.1777052,355.0449267,82.28233304
40,427.8258554,880,731.03,574,26.80925554,267.3946162,585.0751587,303.2041446,731.03,413.6634058,452.1741446,333.069063,84.24607017
41,424.6581208,880,731.03,574,26.83759618,270.3520152,585.0751587,306.3718792,731.03,416.6208049,455.3418792,329.501833,84.64304865
42,421.6970023,880,731.03,574,26.86712479,273.1076027,585.0751587,309.3329977,731.03,419.3763923,458.3029977,326.1439101,85.0374921
43,419.0011352,880,731.03,574,26.90167216,275.6088929,585.0751587,312.0288648,731.03,421.8776826,460.9988648,323.0507811,85.43259745
44,417.2353415,880,731.03,574,26.9396682,277.9017129,585.0751587,313.7946585,731.03,424.1705026,462.7646585,320.7439234,85.97224505
45,417.0253065,880,731.03,574,26.98129792,279.9897742,585.0751587,314.0046935,731.03,426.2585638,462.9746935,319.7134783,86.79248646
46,416.8430382,880,731.03,574,27.0267351,281.7806534,585.0751587,314.1869618,731.03,428.0494431,463.1569618,318.760378,87.56317196
47,416.6231024,880,731.03,574,27.07603609,283.9159544,585.0751587,314.4068976,731.03,430.1847441,463.3768976,317.6760267,88.42741088
48,416.477047,880,731.03,574,27.12960441,285.3187022,585.0751587,314.552953,731.03,431.5874919,463.522953,316.8463694,89.1108954
49,416.3609777,880,731.03,574,27.18753357,286.4248899,585.0751587,314.6690223,731.03,432.6936795,463.6390223,316.1017086,89.73939361
50,416.2611821,880,731.03,574,27.25000058,287.369981,585.0751587,314.7688179,731.03,433.6387707,463.7388179,315.4214125,90.31981384
51,416.1878418,880,731.03,574,27.31719108,288.0610255,585.0751587,314.8421582,731.03,434.3298152,463.8121582,314.8226452,90.84518191
52,416.1367859,880,731.03,574,27.38929617,288.5403539,585.0751587,314.8932141,731.03,434.8091435,463.8632141,314.3005226,91.31620748
53,416.11307,880,731.03,574,27.46646609,288.7625204,585.0751587,314.91693,731.03,435.0313101,463.88693,313.8652091,91.72778611
54,416.1118297,880,731.03,574,27.54891009,288.7741317,585.0751587,314.9181703,731.03,435.0429214,463.8881703,313.5106646,92.08108929
55,416.1381217,880,731.03,574,27.63685165,288.527831,585.0751587,314.8918783,731.03,434.7966207,463.8618783,313.2460633,92.37200372
56,416.1871107,880,731.03,574,27.7304629,288.0678995,585.0751587,314.8428893,731.03,434.3366892,463.8128893,313.0645531,92.60254233
57,416.2636301,880,731.03,574,27.82993408,287.3468641,585.0751587,314.7663699,731.03,433.6156537,463.7363699,312.9727249,92.77095136
58,416.357821,880,731.03,574,27.9354618,286.4548694,585.0751587,314.672179,731.03,432.723659,463.642179,312.9568301,92.88111283
59,416.4842796,880,731.03,574,28.04722737,285.2495228,585.0751587,314.5457204,731.03,431.5183125,463.5157204,313.0400071,92.92449604
60,416.6335638,880,731.03,574,28.16539337,283.8150161,585.0751587,314.3964362,731.03,430.0838057,463.3664362,313.2065913,92.90731603
65,421.8627529,880,731.03,574,28.85796749,272.9535836,585.0751587,309.1672471,731.03,419.2223733,458.1372471,318.5187181,92.82856717
70,440.6185456,880,731.03,574,29.73181179,255.3500549,585.0751587,290.4114544,731.03,401.6188446,439.3814544,336.0594892,94.05840849
75,466.8805299,880,731.03,574,30.79264402,230.1035226,585.0751587,264.1494701,731.03,376.3723123,413.1194701,361.2767527,95.12339961
80,501.1729624,880,731.03,574,32.02718287,196.0938378,585.0751587,229.8570376,731.03,342.3626275,378.8270376,394.5509549,96.1662619
85,549.8093764,880,731.03,574,34.10849644,146.5332887,585.0751587,181.2206236,731.03,292.8020784,330.1906236,441.8472816,97.53632768
90,612.6784253,880,731.03,574,35.74833102,87.98272674,585.0751587,118.3515747,731.03,234.2515164,267.3215747,500.9118151,101.3195973
95,692.0717103,880,731.03,574,37.1047799,16.99608467,585.0751587,38.95828966,731.03,163.2648743,187.9282897,573.3768655,108.2237982
100,785.670239,880,731.03,574,38.05136611,-65.09581653,585.0751587,-54.64023901,731.03,81.17297315,94.32976099,656.1254726,119.0647832
105,896.096561,880,731.03,574,38.60423061,-159.5380027,585.0751587,-165.066561,731.03,-13.26921302,-16.09656101,749.6751413,135.9168975
110,1026.857821,880,731.03,574,38.85140366,-268.8121623,585.0751587,-295.8278205,731.03,-122.5433726,-146.8578205,854.2840885,162.0242157
